Rx 0.151442 1 6 3 1454 430569
Rx 0.151442 1 6 3 1454 429374
Rx 0.151442 1 6 3 1454 428179
Rx 0.151442 1 6 3 1454 426984
Rx 0.151442 1 6 3 1454 425789
Rx 0.151442 1 6 3 1454 424594
Rx 0.151442 1 6 3 1454 423399
Rx 0.151442 1 6 3 1454 422204
Rx 0.152221 1 4 3 1454 410964
Rx 0.152221 1 4 3 1454 409769
Rx 0.152337 1 6 3 1454 1316849
Rx 0.152337 1 6 3 1454 427604
Rx 0.152337 1 6 3 1454 426409
Rx 0.152337 1 6 3 1454 425214
Rx 0.152337 1 6 3 1454 424019
Rx 0.152337 1 6 3 1454 422824
Rx 0.152337 1 6 3 1454 421629
Rx 0.152337 1 6 3 1454 420434
Rx 0.152337 1 6 3 1454 419239
Rx 0.153208 1 6 3 1454 1288924
Rx 0.153396 1 3 3 1454 460884
Rx 0.153396 1 3 3 1454 459689
Rx 0.153396 1 3 3 1454 458494
Rx 0.153396 1 3 3 1454 457299
Rx 0.153396 1 3 3 1454 456104
Rx 0.153396 1 3 3 1454 454909
Rx 0.153396 1 3 3 1454 453714
Rx 0.153396 1 3 3 1454 452519
Rx 0.153396 1 3 3 1454 451324
Rx 0.153396 1 3 3 1454 450129
Rx 0.153396 1 3 3 1454 448934
Rx 0.153496 1 3 3 1454 547739
Rx 0.153496 1 3 3 1454 546544
Rx 0.153496 1 3 3 1454 545349
Rx 0.153496 1 3 3 1454 544154
Rx 0.153496 1 3 3 1454 542959
Rx 0.153496 1 3 3 1454 541764
Rx 0.153496 1 3 3 1454 540569
Rx 0.153496 1 3 3 1454 539374
Rx 0.153496 1 3 3 1454 538179
Rx 0.153496 1 3 3 1454 536984
Rx 0.153496 1 3 3 1454 535789
Rx 0.153496 1 3 3 1454 534594
Rx 0.153525 1 3 3 1454 562679
Rx 0.153525 1 3 3 1454 561484
Rx 0.153854 1 3 3 1454 889409
Rx 0.153854 1 3 3 1454 440084
Rx 0.153854 1 3 3 1454 438889
Rx 0.153854 1 3 3 1454 437694
Rx 0.153854 1 3 3 1454 436499
Rx 0.153854 1 3 3 1454 435304
Rx 0.153854 1 3 3 1454 434109
Rx 0.154308 1 6 3 1454 398484
Rx 0.156337 1 6 3 1454 427604
Rx 0.156337 1 6 3 1454 426409
Rx 0.156337 1 6 3 1454 425214
