Tx 0.0367144 1 6 1 39 
Tx 0.0367145 1 2 1 39 
Tx 0.0367146 1 3 1 39 
Tx 0.0367147 1 5 1 39 
Tx 0.0367148 1 4 1 39 
Tx 0.0367149 1 1 1 39 
Tx 0.0429286 1 2 1 15 
Tx 0.0429286 1 3 1 15 
Tx 0.0429286 1 1 1 15 
Tx 0.0479286 1 6 1 15 
Tx 0.0479286 1 5 1 15 
Tx 0.0479286 1 4 1 15 
Tx 0.0479286 1 4 1 15 
Rx 0.136796 1 6 3 1454 471504
Rx 0.136796 1 6 3 1454 470309
Rx 0.136796 1 6 3 1454 469114
Rx 0.136796 1 6 3 1454 467919
Rx 0.136796 1 6 3 1454 466724
Rx 0.136796 1 6 3 1454 465529
Rx 0.136796 1 6 3 1454 464334
Rx 0.136796 1 6 3 1454 463139
Rx 0.136796 1 6 3 1454 461944
Rx 0.136796 1 6 3 1454 460749
Rx 0.136796 1 6 3 1454 459554
Rx 0.136796 1 6 3 1454 458359
Rx 0.136796 1 6 3 1454 457164
Rx 0.136796 1 6 3 1454 455969
Rx 0.136883 1 6 3 1454 542294
Rx 0.136883 1 6 3 1454 541099
Rx 0.136883 1 6 3 1454 539904
Rx 0.136883 1 6 3 1454 538709
Rx 0.136883 1 6 3 1454 537514
Rx 0.136883 1 6 3 1454 536319
Rx 0.136883 1 6 3 1454 535124
Rx 0.136883 1 6 3 1454 533929
Rx 0.136883 1 6 3 1454 532734
Rx 0.136883 1 6 3 1454 531539
Rx 0.136883 1 6 3 1454 530344
Rx 0.136883 1 6 3 1454 529149
Rx 0.136883 1 6 3 1454 527954
Rx 0.136883 1 6 3 1454 526759
Rx 0.136883 1 6 3 1454 525564
Rx 0.136883 1 6 3 1454 524369
Rx 0.136883 1 6 3 1454 523174
Rx 0.136883 1 6 3 1454 521979
Rx 0.136883 1 6 3 1454 520784
Rx 0.136883 1 6 3 1454 519589
Rx 0.136883 1 6 3 1454 518394
Rx 0.136883 1 6 3 1454 517199
Rx 0.136883 1 6 3 1454 516004
Rx 0.137654 1 6 3 1454 1285689
Rx 0.137654 1 6 3 1454 444244
Rx 0.137654 1 6 3 1454 443049
Rx 0.137654 1 6 3 1454 441854
Rx 0.137654 1 6 3 1454 440659
Rx 0.137654 1 6 3 1454 439464
Rx 0.137654 1 6 3 1454 438269
Rx 0.137654 1 6 3 1454 437074
Rx 0.137654 1 6 3 1454 435879
Rx 0.137654 1 6 3 1454 434684
Rx 0.137654 1 6 3 1454 433489
Rx 0.137654 1 6 3 1454 432294
Rx 0.137654 1 6 3 1454 431099
Rx 0.137654 1 6 3 1454 429904
Rx 0.137937 1 3 3 1454 827604
Rx 0.137937 1 3 3 1454 826409
Rx 0.137937 1 3 3 1454 825214
Rx 0.137937 1 3 3 1454 824019
Rx 0.139608 1 6 3 1454 2382949
Rx 0.141696 1 6 3 1454 485844
Rx 0.141696 1 6 3 1454 484649
Rx 0.141696 1 6 3 1454 483454
Rx 0.141696 1 6 3 1454 482259
Rx 0.141696 1 6 3 1454 481064
Rx 0.141696 1 6 3 1454 479869
Rx 0.141696 1 6 3 1454 478674
Rx 0.141696 1 6 3 1454 477479
Rx 0.141696 1 6 3 1454 476284
Rx 0.141696 1 6 3 1454 475089
Rx 0.141696 1 6 3 1454 473894
Rx 0.141696 1 6 3 1454 472699
Rx 0.141696 1 6 3 1454 471504
Rx 0.141696 1 6 3 1454 470309
Rx 0.141696 1 6 3 1454 469114
Rx 0.141696 1 6 3 1454 467919
Rx 0.141696 1 6 3 1454 466724
Rx 0.141696 1 6 3 1454 465529
Rx 0.141696 1 6 3 1454 464334
Rx 0.141696 1 6 3 1454 463139
Rx 0.141696 1 6 3 1454 461944
Rx 0.141696 1 6 3 1454 460749
Rx 0.141696 1 6 3 1454 459554
Rx 0.141696 1 6 3 1454 458359
Rx 0.141696 1 6 3 1454 457164
Rx 0.141696 1 6 3 1454 455969
Rx 0.141796 1 6 3 1454 554774
Rx 0.141796 1 6 3 1454 553579
Rx 0.141796 1 6 3 1454 552384
Rx 0.141796 1 6 3 1454 551189
Rx 0.141796 1 6 3 1454 549994
Rx 0.141796 1 6 3 1454 548799
Rx 0.141796 1 6 3 1454 547604
Rx 0.141796 1 6 3 1454 546409
Rx 0.141796 1 6 3 1454 545214
Rx 0.141796 1 6 3 1454 544019
Rx 0.141796 1 6 3 1454 542824
Rx 0.141796 1 6 3 1454 541629
Rx 0.141796 1 6 3 1454 540434
Rx 0.141796 1 6 3 1454 539239
Rx 0.141796 1 6 3 1454 538044
Rx 0.141796 1 6 3 1454 536849
Rx 0.141796 1 6 3 1454 535654
Rx 0.141796 1 6 3 1454 534459
Rx 0.141796 1 6 3 1454 533264
Rx 0.141796 1 6 3 1454 532069
Rx 0.141796 1 6 3 1454 530874
Rx 0.141796 1 6 3 1454 529679
Rx 0.141796 1 6 3 1454 528484
Rx 0.141796 1 6 3 1454 527289
Rx 0.141796 1 6 3 1454 526094
Rx 0.141796 1 6 3 1454 524899
Rx 0.141796 1 6 3 1454 523704
Rx 0.141896 1 6 3 1454 622509
Rx 0.141896 1 6 3 1454 621314
Rx 0.141896 1 6 3 1454 620119
Rx 0.141896 1 6 3 1454 618924
Rx 0.141896 1 6 3 1454 617729
Rx 0.141896 1 6 3 1454 616534
Rx 0.141896 1 6 3 1454 615339
Rx 0.141896 1 6 3 1454 614144
Rx 0.141896 1 6 3 1454 612949
Rx 0.141896 1 6 3 1454 581684
Rx 0.141896 1 6 3 1454 580489
Rx 0.141896 1 6 3 1454 579294
Rx 0.141896 1 6 3 1454 578099
Rx 0.141896 1 6 3 1454 576904
Rx 0.141896 1 6 3 1454 575709
Rx 0.141896 1 6 3 1454 574514
Rx 0.141896 1 6 3 1454 573319
Rx 0.141896 1 6 3 1454 572124
Rx 0.141896 1 6 3 1454 570929
Rx 0.141896 1 6 3 1454 569734
Rx 0.141896 1 6 3 1454 568539
Rx 0.141896 1 6 3 1454 567344
Rx 0.141896 1 6 3 1454 566149
Rx 0.141896 1 6 3 1454 564954
Rx 0.141896 1 6 3 1454 563759
Rx 0.141896 1 6 3 1454 562564
Rx 0.141896 1 6 3 1454 561369
Rx 0.141967 1 6 3 1454 631054
Rx 0.141967 1 6 3 1454 629859
Rx 0.141967 1 6 3 1454 628664
Rx 0.141967 1 6 3 1454 627469
Rx 0.141967 1 6 3 1454 626274
Rx 0.141967 1 6 3 1454 625079
Rx 0.141967 1 6 3 1454 623884
Rx 0.141967 1 6 3 1454 622689
Rx 0.141967 1 6 3 1454 621494
Rx 0.141967 1 6 3 1454 620299
Rx 0.141967 1 6 3 1454 619104
Rx 0.141967 1 6 3 1454 617909
Rx 0.141967 1 6 3 1454 616714
Rx 0.141967 1 6 3 1454 615519
Rx 0.141967 1 6 3 1454 614324
Rx 0.141967 1 6 3 1454 613129
Rx 0.141967 1 6 3 1454 611934
Rx 0.142412 1 4 3 58 412389
Rx 0.142596 1 6 3 1454 1239859
Rx 0.142596 1 6 3 1454 485844
Rx 0.142596 1 6 3 1454 484649
Rx 0.142596 1 6 3 1454 483454
Rx 0.142596 1 6 3 1454 482259
Rx 0.142596 1 6 3 1454 481064
Rx 0.142596 1 6 3 1454 479869
Rx 0.142596 1 6 3 1454 478674
Rx 0.142596 1 6 3 1454 477479
Rx 0.142596 1 6 3 1454 476284
Rx 0.142596 1 6 3 1454 475089
Rx 0.142596 1 6 3 1454 473894
Rx 0.142596 1 6 3 1454 472699
Rx 0.142596 1 6 3 1454 471504
Rx 0.142596 1 6 3 1454 470309
Rx 0.142596 1 6 3 1454 469114
Rx 0.142596 1 6 3 1454 467919
Rx 0.142596 1 6 3 1454 466724
Rx 0.142596 1 6 3 1454 465529
Rx 0.142596 1 6 3 1454 464334
Rx 0.142596 1 6 3 1454 463139
Rx 0.142596 1 6 3 1454 461944
Rx 0.142596 1 6 3 1454 460749
Rx 0.142596 1 6 3 1454 459554
Rx 0.142596 1 6 3 1454 458359
Rx 0.142596 1 6 3 1454 457164
Rx 0.142596 1 6 3 1454 455969
Rx 0.143183 1 3 3 1454 473364
Rx 0.143183 1 3 3 1454 472169
Rx 0.143183 1 3 3 1454 470974
Rx 0.143183 1 3 3 1454 469779
Rx 0.143183 1 3 3 1454 468584
Rx 0.143183 1 3 3 1454 467389
Rx 0.143183 1 3 3 1454 466194
Rx 0.144008 1 3 3 1454 1290119
Rx 0.144517 1 6 3 1454 2375734
Rx 0.144517 1 6 3 1454 2374539
Rx 0.144517 1 6 3 1454 406804
Rx 0.144517 1 6 3 1454 405609
Rx 0.146592 1 6 3 1454 481684
Rx 0.146592 1 6 3 1454 480489
Rx 0.146592 1 6 3 1454 479294
Rx 0.146592 1 6 3 1454 478099
Rx 0.146592 1 6 3 1454 476904
Rx 0.146592 1 6 3 1454 475709
Rx 0.146592 1 6 3 1454 474514
Rx 0.146592 1 6 3 1454 473319
Rx 0.146592 1 6 3 1454 472124
Rx 0.146592 1 6 3 1454 470929
Rx 0.146592 1 6 3 1454 469734
Rx 0.146592 1 6 3 1454 468539
Rx 0.146592 1 6 3 1454 467344
Rx 0.146592 1 6 3 1454 466149
Rx 0.146592 1 6 3 1454 464954
Rx 0.146592 1 6 3 1454 463759
Rx 0.146592 1 6 3 1454 462564
Rx 0.146592 1 6 3 1454 461369
Rx 0.146592 1 6 3 1454 460174
Rx 0.146592 1 6 3 1454 458979
Rx 0.146592 1 6 3 1454 457784
Rx 0.146592 1 6 3 1454 456589
Rx 0.146592 1 6 3 1454 455394
Rx 0.146592 1 6 3 1454 454199
Rx 0.146592 1 6 3 1454 453004
Rx 0.146696 1 6 3 1454 555969
Rx 0.146696 1 6 3 1454 554774
Rx 0.146696 1 6 3 1454 553579
Rx 0.146696 1 6 3 1454 552384
Rx 0.146696 1 6 3 1454 551189
Rx 0.146696 1 6 3 1454 549994
Rx 0.146696 1 6 3 1454 548799
Rx 0.146696 1 6 3 1454 481684
Rx 0.146696 1 6 3 1454 480489
Rx 0.146696 1 6 3 1454 479294
Rx 0.146696 1 6 3 1454 478099
Rx 0.146696 1 6 3 1454 476904
Rx 0.146696 1 6 3 1454 475709
Rx 0.146696 1 6 3 1454 474514
Rx 0.146696 1 6 3 1454 473319
Rx 0.146696 1 6 3 1454 472124
Rx 0.146696 1 6 3 1454 470929
Rx 0.146696 1 6 3 1454 469734
Rx 0.146696 1 6 3 1454 468539
Rx 0.146696 1 6 3 1454 467344
Rx 0.146696 1 6 3 1454 466149
Rx 0.146696 1 6 3 1454 464954
Rx 0.146696 1 6 3 1454 463759
Rx 0.146696 1 6 3 1454 462564
Rx 0.146696 1 6 3 1454 461369
Rx 0.146696 1 6 3 1454 460174
Rx 0.146696 1 6 3 1454 458979
Rx 0.146796 1 6 3 1454 557784
Rx 0.146796 1 6 3 1454 556589
Rx 0.146796 1 6 3 1454 555394
Rx 0.146796 1 6 3 1454 554199
Rx 0.146796 1 6 3 1454 553004
Rx 0.146796 1 6 3 1454 551809
Rx 0.146796 1 6 3 1454 550614
Rx 0.146796 1 6 3 1454 549419
Rx 0.146796 1 6 3 1454 548224
Rx 0.146796 1 6 3 1454 547029
Rx 0.146796 1 6 3 1454 545834
Rx 0.146796 1 6 3 1454 544639
Rx 0.146796 1 6 3 1454 543444
Rx 0.146796 1 6 3 1454 542249
Rx 0.146796 1 6 3 1454 541054
Rx 0.146796 1 6 3 1454 539859
Rx 0.146796 1 6 3 1454 538664
Rx 0.146796 1 6 3 1454 537469
Rx 0.146796 1 6 3 1454 536274
Rx 0.146796 1 6 3 1454 535079
Rx 0.146796 1 6 3 1454 533884
Rx 0.146796 1 6 3 1454 532689
Rx 0.146796 1 6 3 1454 531494
Rx 0.146796 1 6 3 1454 530299
Rx 0.146796 1 6 3 1454 529104
Rx 0.146796 1 6 3 1454 527909
Rx 0.146796 1 6 3 1454 526714
Rx 0.146871 1 6 3 1454 600559
Rx 0.146871 1 6 3 1454 599364
Rx 0.146871 1 6 3 1454 598169
Rx 0.146871 1 6 3 1454 596974
Rx 0.146871 1 6 3 1454 595779
Rx 0.146871 1 6 3 1454 594584
Rx 0.146871 1 6 3 1454 593389
Rx 0.146871 1 6 3 1454 592194
Rx 0.146871 1 6 3 1454 590999
Rx 0.146871 1 6 3 1454 589804
Rx 0.146871 1 6 3 1454 588609
Rx 0.146871 1 6 3 1454 587414
Rx 0.146871 1 6 3 1454 586219
Rx 0.146871 1 6 3 1454 585024
Rx 0.146871 1 6 3 1454 583829
Rx 0.146871 1 6 3 1454 582634
Rx 0.146871 1 6 3 1454 581439
Rx 0.146871 1 6 3 1454 580244
Rx 0.146871 1 6 3 1454 579049
Rx 0.147312 1 4 3 54 399824
Rx 0.147312 1 4 3 1454 398476
Rx 0.147496 1 6 3 1454 1202814
Rx 0.147496 1 6 3 1454 485844
Rx 0.147496 1 6 3 1454 484649
Rx 0.147496 1 6 3 1454 483454
Rx 0.147496 1 6 3 1454 482259
Rx 0.147496 1 6 3 1454 481064
Rx 0.147496 1 6 3 1454 479869
Rx 0.147496 1 6 3 1454 478674
Rx 0.147496 1 6 3 1454 477479
Rx 0.147496 1 6 3 1454 476284
Rx 0.147496 1 6 3 1454 475089
Rx 0.147496 1 6 3 1454 473894
Rx 0.147496 1 6 3 1454 472699
Rx 0.147496 1 6 3 1454 471504
Rx 0.147496 1 6 3 1454 470309
Rx 0.147496 1 6 3 1454 469114
Rx 0.147496 1 6 3 1454 467919
Rx 0.147496 1 6 3 1454 466724
Rx 0.147496 1 6 3 1454 465529
Rx 0.147496 1 6 3 1454 464334
Rx 0.147496 1 6 3 1454 463139
Rx 0.147496 1 6 3 1454 461944
Rx 0.147496 1 6 3 1454 460749
Rx 0.147496 1 6 3 1454 459554
Rx 0.147496 1 6 3 1454 458359
Rx 0.147496 1 6 3 1454 457164
Rx 0.147496 1 6 3 1454 455969
Rx 0.148096 1 3 3 1454 485844
Rx 0.148096 1 3 3 1454 484649
Rx 0.148096 1 3 3 1454 483454
Rx 0.148096 1 3 3 1454 482259
Rx 0.148096 1 3 3 1454 481064
Rx 0.148096 1 3 3 1454 479869
Rx 0.148096 1 3 3 1454 478674
Rx 0.148096 1 3 3 1454 477479
Rx 0.148096 1 3 3 1454 476284
Rx 0.148096 1 3 3 1454 475089
Rx 0.148096 1 3 3 1454 473894
Rx 0.148125 1 3 3 1454 501979
Rx 0.148125 1 3 3 1454 500784
Rx 0.148925 1 3 3 1454 1299589
Rx 0.148925 1 3 3 1454 402644
Rx 0.148925 1 3 3 1454 401449
Rx 0.149433 1 6 3 1454 2392374
Rx 0.149433 1 6 3 1454 2391179
Rx 0.149433 1 6 3 1454 2389984
Rx 0.149433 1 6 3 1454 2388789
Rx 0.149433 1 6 3 1454 2387594
Rx 0.149433 1 6 3 1454 423444
Rx 0.149433 1 6 3 1454 422249
Rx 0.149433 1 6 3 1454 421054
Rx 0.150412 1 5 3 58 412389
Rx 0.151492 1 6 3 1454 2478099
Rx 0.151492 1 6 3 1454 481684
Rx 0.151492 1 6 3 1454 480489
Rx 0.151492 1 6 3 1454 479294
Rx 0.151492 1 6 3 1454 478099
Rx 0.151492 1 6 3 1454 476904
Rx 0.151492 1 6 3 1454 475709
Rx 0.151492 1 6 3 1454 474514
Rx 0.151492 1 6 3 1454 473319
Rx 0.151492 1 6 3 1454 472124
Rx 0.151492 1 6 3 1454 470929
Rx 0.151492 1 6 3 1454 469734
Rx 0.151492 1 6 3 1454 468539
Rx 0.151492 1 6 3 1454 467344
Rx 0.151492 1 6 3 1454 466149
Rx 0.151492 1 6 3 1454 464954
Rx 0.151492 1 6 3 1454 463759
Rx 0.151492 1 6 3 1454 462564
Rx 0.151492 1 6 3 1454 461369
Rx 0.151492 1 6 3 1454 460174
Rx 0.151492 1 6 3 1454 458979
Rx 0.151492 1 6 3 1454 457784
Rx 0.151492 1 6 3 1454 456589
Rx 0.151492 1 6 3 1454 455394
Rx 0.151492 1 6 3 1454 454199
Rx 0.151492 1 6 3 1454 453004
Rx 0.151596 1 6 3 1454 555969
Rx 0.151596 1 6 3 1454 554774
Rx 0.151596 1 6 3 1454 553579
Rx 0.151596 1 6 3 1454 552384
Rx 0.151596 1 6 3 1454 551189
Rx 0.151596 1 6 3 1454 549994
Rx 0.151596 1 6 3 1454 548799
Rx 0.151596 1 6 3 1454 481684
Rx 0.151596 1 6 3 1454 480489
Rx 0.151596 1 6 3 1454 479294
Rx 0.151596 1 6 3 1454 478099
Rx 0.151596 1 6 3 1454 476904
Rx 0.151596 1 6 3 1454 475709
Rx 0.151596 1 6 3 1454 474514
Rx 0.151596 1 6 3 1454 473319
Rx 0.151596 1 6 3 1454 472124
Rx 0.151596 1 6 3 1454 470929
Rx 0.151596 1 6 3 1454 469734
Rx 0.151596 1 6 3 1454 468539
Rx 0.151596 1 6 3 1454 467344
Rx 0.151596 1 6 3 1454 466149
Rx 0.151596 1 6 3 1454 464954
Rx 0.151596 1 6 3 1454 463759
Rx 0.151596 1 6 3 1454 462564
Rx 0.151596 1 6 3 1454 461369
Rx 0.151596 1 6 3 1454 460174
Rx 0.151596 1 6 3 1454 458979
Rx 0.151696 1 6 3 1454 557784
Rx 0.151696 1 6 3 1454 556589
Rx 0.151696 1 6 3 1454 555394
Rx 0.151696 1 6 3 1454 554199
Rx 0.151696 1 6 3 1454 553004
Rx 0.151696 1 6 3 1454 551809
Rx 0.151696 1 6 3 1454 550614
Rx 0.151696 1 6 3 1454 549419
Rx 0.151696 1 6 3 1454 548224
Rx 0.151696 1 6 3 1454 547029
Rx 0.151696 1 6 3 1454 545834
Rx 0.151696 1 6 3 1454 544639
Rx 0.151696 1 6 3 1454 543444
Rx 0.151696 1 6 3 1454 542249
Rx 0.151696 1 6 3 1454 541054
Rx 0.151696 1 6 3 1454 539859
Rx 0.151696 1 6 3 1454 538664
Rx 0.151696 1 6 3 1454 537469
Rx 0.151696 1 6 3 1454 536274
Rx 0.151696 1 6 3 1454 535079
Rx 0.151696 1 6 3 1454 533884
Rx 0.151696 1 6 3 1454 532689
Rx 0.151696 1 6 3 1454 531494
Rx 0.151696 1 6 3 1454 530299
Rx 0.151696 1 6 3 1454 529104
Rx 0.151696 1 6 3 1454 527909
Rx 0.151696 1 6 3 1454 526714
Rx 0.151787 1 6 3 1454 617199
Rx 0.151787 1 6 3 1454 616004
Rx 0.151787 1 6 3 1454 614809
Rx 0.151787 1 6 3 1454 613614
Rx 0.151787 1 6 3 1454 612419
Rx 0.151787 1 6 3 1454 611224
Rx 0.151787 1 6 3 1454 610029
Rx 0.151787 1 6 3 1454 608834
Rx 0.151787 1 6 3 1454 607639
Rx 0.151787 1 6 3 1454 606444
Rx 0.151787 1 6 3 1454 605249
Rx 0.151787 1 6 3 1454 604054
Rx 0.151787 1 6 3 1454 602859
Rx 0.151787 1 6 3 1454 601664
Rx 0.151787 1 6 3 1454 600469
Rx 0.151787 1 6 3 1454 599274
Rx 0.151787 1 6 3 1454 598079
Rx 0.151787 1 6 3 1454 596884
Rx 0.151787 1 6 3 1454 595689
Rx 0.151787 1 6 3 1454 594494
Rx 0.151787 1 6 3 1454 593299
Rx 0.151787 1 6 3 1454 569204
Rx 0.151787 1 6 3 1454 568009
Rx 0.152221 1 4 3 1454 410964
Rx 0.152221 1 4 3 1454 409769
Rx 0.152396 1 6 3 1454 1175134
Rx 0.152396 1 6 3 1454 485844
Rx 0.152396 1 6 3 1454 484649
Rx 0.152396 1 6 3 1454 483454
Rx 0.152396 1 6 3 1454 482259
Rx 0.152396 1 6 3 1454 481064
Rx 0.152396 1 6 3 1454 479869
Rx 0.152396 1 6 3 1454 478674
Rx 0.152396 1 6 3 1454 477479
Rx 0.152396 1 6 3 1454 476284
Rx 0.152396 1 6 3 1454 475089
Rx 0.152396 1 6 3 1454 473894
Rx 0.152396 1 6 3 1454 472699
Rx 0.152396 1 6 3 1454 471504
Rx 0.152396 1 6 3 1454 470309
Rx 0.152396 1 6 3 1454 469114
Rx 0.152396 1 6 3 1454 467919
Rx 0.152396 1 6 3 1454 466724
Rx 0.152396 1 6 3 1454 465529
Rx 0.152396 1 6 3 1454 464334
Rx 0.152396 1 6 3 1454 463139
Rx 0.152396 1 6 3 1454 461944
Rx 0.152396 1 6 3 1454 460749
Rx 0.152396 1 6 3 1454 459554
Rx 0.152396 1 6 3 1454 458359
Rx 0.152396 1 6 3 1454 457164
Rx 0.152396 1 6 3 1454 455969
Rx 0.152996 1 3 3 1454 485844
Rx 0.152996 1 3 3 1454 484649
Rx 0.152996 1 3 3 1454 483454
Rx 0.152996 1 3 3 1454 482259
Rx 0.152996 1 3 3 1454 481064
Rx 0.152996 1 3 3 1454 479869
Rx 0.152996 1 3 3 1454 478674
Rx 0.152996 1 3 3 1454 477479
Rx 0.152996 1 3 3 1454 476284
Rx 0.152996 1 3 3 1454 475089
Rx 0.152996 1 3 3 1454 473894
Rx 0.153096 1 3 3 1454 572699
Rx 0.153096 1 3 3 1454 571504
Rx 0.153096 1 3 3 1454 570309
Rx 0.153096 1 3 3 1454 569114
Rx 0.153096 1 3 3 1454 567919
Rx 0.153096 1 3 3 1454 566724
Rx 0.153096 1 3 3 1454 565529
Rx 0.153096 1 3 3 1454 564334
Rx 0.153096 1 3 3 1454 563139
Rx 0.153096 1 3 3 1454 561944
Rx 0.153096 1 3 3 1454 560749
Rx 0.153096 1 3 3 1454 559554
Rx 0.153125 1 3 3 1454 587639
Rx 0.153125 1 3 3 1454 586444
Rx 0.153854 1 3 3 1454 1314369
Rx 0.153854 1 3 3 1454 415124
Rx 0.153854 1 3 3 1454 413929
Rx 0.153854 1 3 3 1454 412734
Rx 0.153854 1 3 3 1454 411539
Rx 0.153854 1 3 3 1454 410344
Rx 0.153854 1 3 3 1454 409149
Rx 0.154342 1 6 3 1454 2400694
Rx 0.154342 1 6 3 1454 2399499
Rx 0.154342 1 6 3 1454 431764
Rx 0.154342 1 6 3 1454 430569
Rx 0.154342 1 6 3 1454 429374
Rx 0.154342 1 6 3 1454 428179
Rx 0.154342 1 6 3 1454 426984
Rx 0.154342 1 6 3 1454 425789
Rx 0.154342 1 6 3 1454 424594
Rx 0.154342 1 6 3 1454 423399
Rx 0.156392 1 6 3 1454 2472124
Rx 0.156392 1 6 3 1454 481684
Rx 0.156392 1 6 3 1454 480489
Rx 0.156392 1 6 3 1454 479294
Rx 0.156392 1 6 3 1454 478099
Rx 0.156392 1 6 3 1454 476904
Rx 0.156392 1 6 3 1454 475709
Rx 0.156392 1 6 3 1454 474514
Rx 0.156392 1 6 3 1454 473319
Rx 0.156392 1 6 3 1454 472124
Rx 0.156392 1 6 3 1454 470929
Rx 0.156392 1 6 3 1454 469734
Rx 0.156392 1 6 3 1454 468539
Rx 0.156392 1 6 3 1454 467344
Rx 0.156392 1 6 3 1454 466149
Rx 0.156392 1 6 3 1454 464954
Rx 0.156392 1 6 3 1454 463759
Rx 0.156392 1 6 3 1454 462564
Rx 0.156392 1 6 3 1454 461369
Rx 0.156392 1 6 3 1454 460174
Rx 0.156392 1 6 3 1454 458979
Rx 0.156392 1 6 3 1454 457784
Rx 0.156392 1 6 3 1454 456589
Rx 0.156392 1 6 3 1454 455394
Rx 0.156392 1 6 3 1454 454199
Rx 0.156392 1 6 3 1454 453004
Rx 0.156496 1 6 3 1454 555969
Rx 0.156496 1 6 3 1454 554774
Rx 0.156496 1 6 3 1454 553579
Rx 0.156496 1 6 3 1454 552384
Rx 0.156496 1 6 3 1454 551189
Rx 0.156496 1 6 3 1454 549994
Rx 0.156496 1 6 3 1454 548799
Rx 0.156496 1 6 3 1454 481684
Rx 0.156496 1 6 3 1454 480489
Rx 0.156496 1 6 3 1454 479294
Rx 0.156496 1 6 3 1454 478099
Rx 0.156496 1 6 3 1454 476904
Rx 0.156496 1 6 3 1454 475709
Rx 0.156496 1 6 3 1454 474514
